name,status,province,city,address,facility_phone,website,person_in_charge,email,phone_number,designation,additional_requirements,shifts_available,notes
Municipality of Durham,ACTIVE,ON,Whitby,"605 Rossland Rd East, Whitby, ON L1N 0B7",905-668-5851,https://www.durham.ca/en/index.aspx,"        
Khadija Mohamed / Anna Bishop",Khadija.Mohamed@durham.ca / LTCstudentsplacement@durham.ca / anna.bishop@durham.ca,365-688-4576 / 905-668-5851 ext.5910,Program Assistant /Manager of Nursing Practice,,,
Niagara Region,INACTIVE,ON,Thorold,"1815 Sir Isaac Brock Way, Thorold, ON L2V 4T7",905-980-6000,https://www.niagararegion.ca/,Devan Singh,devan.singh@niagararegion.ca,905-980-6000 ext. 3837,"Senior Services, Central support
Student placement and onboarding lead",,,
ReachView Village LTC Home,ACTIVE,ON,Uxbridge,"130 Reach St, Uxbridge, ON L9P 1L3",905-852-5191,http://www.reachviewvillageltc.com/,Nadya Tablada,nadya.tablada@exeassist.ca,,,,,
Lakeside LTC Centre,INACTIVE,ON,Toronto,"150 Dunn Ave, Toronto, ON M6K 2R6",416-533-2828,https://www.uhn.ca/OurHospitals/Lakeside,,,,,,,
Mon Sheong Scarborough LTC Centre,ACTIVE,ON,Scarborough,"2030 McNicoll Avenue, Scarborough, ON M1V 5P4",416-291-3898,https://www.monsheong.org/what-we-do/long-term-care-centre/scarborough-long-term-care-centre/,KY Chan  / Timothy Lam ,kychan@monsheong.org / timothylam@monsheong.org,,Asst Dir of Resident Care / Administrative Asst. Resident Care,,,
Chartwell Collegiate Heights Retirement Residence,ACTIVE,ON,Sault Ste. Marie,"95 Fauquier Ave, Sault Ste. Marie, ON P6B 0A2",705-256-4679,https://chartwell.com/on/sault-ste-marie/collegiate-heights,Nancy Daigle ,ndaigle@chartwell.com,"Cell# 705-297-0334
",Health and Wellness Manager,,,
Chartwell Oak Ridges,ACTIVE,ON,Richmond Hill,"12925 Yonge St, Richmond Hill, ON L4E 0T7",289-573-9736,https://chartwell.com/on/richmond-hill/oak-ridges,Brenda Brabander ,bbrabander@chartwell.com,,General Manager,,,
L'Chaim Retirement Home,ACTIVE,ON,North York,"718 Sheppard Ave W, North York, ON M3H 2S6",416-398-7898,https://www.lchaimretirement.ca/,,,,,,,
Mon Sheong Home for the Aged,ACTIVE,ON,Toronto,"36 D’Arcy Street, Toronto, ON M5T 1J7",416-977-3762,https://www.monsheong.org/what-we-do/long-term-care-centre/mon-sheong-home-aged/,"Way Tang / Brenda Mok
",WayTang@monsheong.org / BrendaMok@monsheong.org,ext 5608,Asst. Director of Resident Care / Acting Administrator,,,
Isaccie Adult Group Home,ACTIVE,NU,Iqaluit,"#496 Atungauyait Drive Iqaluit, NU, X0A 2H0",867-979-4806,,Leigh Ann Phillips,isacciehome@issacie.ca,,Manager,,,
Burton Manor,ACTIVE,ON,Brampton,"5 Sterritt Dr, Brampton, ON L6Y 5P3",905-455-1601 ,https://www.primacareliving.com/burton-manor,Gugulethu Ncube,gncube@primacareliving.com,ext 607,Education Coordinator,,,
Fairview Nursing Home,IN PROGRESS,ON,Toronto,"14 Cross St Toronto, ON M6J 1S8
","416-534-8829 
",https://schlegelvillages.com/fairview-toronto,"Saurabh Bhatnagar - General Manager
",saurabh.bhatnagar@schlegelvillages.com,"416-534-8829 ext 225
",,,,
Kensington Gardens  ,IN PROGRESS,ON,Toronto,"25 Brunswick Ave Toronto, ON M5S 2L9",416-963-9640 ,https://www.kensingtonhealth.org/long-term-care,"Andrea Thompson - Vice-President, Community, Hospice and Long-Term Care (Home Administrator)",athompson@kensingtonhealth.org,416-963-9640 ext. 81011,,,,
Main Street Terrace - Long Term Care Home,ACTIVE,ON,Toronto,"77 Main St Toronto, ON M4E 2V6
","416-690-3001
",http://www.mainstreetterraceltc.com/,"Gagandeep Dhillon, Director of Care (DOC)",gagandeep.dhillon@exeassist.ca,,,,,June Intake
Norwood Nursing Home,IN PROGRESS,ON,Toronto,"122 Tyndall Ave Toronto, ON M6K 2E2","416-535-3011 
",https://www.norwoodcare.ca/,Martha Acuna-Galeano -Administrator/Director of Care,doc-administrator@norwoodcare.ca,C: 437-339-5695 / 416-535-3011 ext 107,,,,
Salvation Army - Isabel and Arthur Meighen Manor  / Meighen Retirement Residence,NOT ACCEPTING,ON,Toronto,"155 Millwood Rd Toronto, ON M4S 1J6","416-481-9449 
",https://salvationarmy.ca/meighenhealth/,"Nazila Afghani - Director of Care
Meighen Health Centre", nazila.afghani@salvationarmy.ca,"416-481-9449 ext 419
",,,,Via Email Mar 5
Forest Hill Place Retirement Residence,IN PROGRESS,ON,Toronto,"645 Castlefield Ave, Toronto, ON M5N 3A5
",416-785-1511 ,https://cogirseniorliving.ca/retirement-home-toronto-ontario/forest-hill-place/,,,416-785-1511 ext. 2003,,,,
"Union Villa Long-Term Care
",ACTIVE,ON,Markham,"4300 Hwy 7, Markham, ON L3R 1L8",905-477-2822 ,https://www.uhs.on.ca/union-villa/,Cynthia Li - Student Placement Volunteer Coordinator,volunteer@uhs.on.ca,905-477-2822 ext 4262,,,,
"Finlandia Village
",ACTIVE,ON,Sudbury,"233 4th Ave, Sudbury, ON P3B 4C3",705-524-3137 ,https://finlandiavillage.ca/,Cheshta Cheshta- HR Associate,ccheshta@finlandiavillage.ca,705-524-3137 ext 258,,,,
Queenston Place Retirement Residence,ACTIVE,ON,Niagara Falls,"6440 Valley Way Niagara Falls, ON L2E 7E3",905-371-2743,https://www.queenstonplace.ca/,Kaitlyn Sullivan - Resident Care Manager,kaitlyn@queenstonplace.com,,,,,
Extendicare St. Catharines,IN PROGRESS,ON,St. Catharines,"283 Pelham Rd, St. Catharines, ON L2S 1X7",905-688-3311,http://www.extendicarestcatharines.com/,"Ronald Bulatao, Director of Care (DOC)",ronald.bulatao@extendicare.com,,,,,
"William Place Retirement Residence
",NOT ACCEPTING,ON,Lindsay,"140 William St N, Lindsay, ON K9V 5R4",705-328-1016,https://oxfordwilliamplace.com/,Tonya Porretta - GM DOC,tporretta@oxfordliving.ca,705-328-1016 C: 705-341-2124,,,,
Mariann Home,ACTIVE,ON,Richmond Hill,"9915 Yonge St, Richmond Hill, ON L4C 1V1",905-884-9276 ,https://mariannhome.com/,Fritzie Leyson - Ward Clerk (Student Placement Coordinator),fritzie.leyson@mariannhome.com,905-884-9276 ext 232,,,,
Foyer Richelieu Welland,NOT ACCEPTING,ON,Welland,"655 Tanguay Ave.
Welland, On, L3B 6A1",905-734-1400 ,https://www.foyerrichelieuwelland.com/,"Jennifer Barbieri - Director of Care
","jennifer.barbieri@foyerrichelieu.com
",905-734-1400 ext 225,,,,
St. Charles Village,NOT ACCEPTING,ON,Welland,"30 Nova Crescent, Welland, Ontario, L3C 6P8",905 788 1844,https://www.stcharlesvillage.ca/,,,,,,,
Levante Villa De Rose,ACTIVE,ON,Welland,"370 Hellems Ave
Welland, ON L3B 3C1",365-364-1700,https://levanteliving.com/residences/villa-de-rose,Jiji Marydasan,jiji.marydasan@villaderose.ca,,,,,
Extendicare West Oak Village Long-Term Care Home,ACTIVE,ON,Oakville," 2370 Third Line, Oakville, ON L6M 4Y6",905-469-3294,http://www.extendicarewestoakvillage.com/,Quini Labuguenpaggao,quini.labuguenpaggao@extendicare.com,905-469-3294 ext 2004,,,,
"Bay Haven Care Community
",NOT ACCEPTING,ON,Collingwood,"499 Hume St, Collingwood, ON L9Y 4H8","705-445-6501
",https://bayhaven.com/,Lillian Kelly - Director of Nursing and Personal Care,dirnursing@bayhaven.com,"705-445-6501
ext 232",,,,
Chartwell Balmoral Retirement Community,ACTIVE,ON,Collingwood,"8 Harbour St W, Collingwood, ON L9Y 5R5",705-532-9606,https://chartwell.com/on/collingwood/balmoral,Stephanie Tulloch - Assisted Living Manager,stulloch@chartwell.com,,,,,
"Raglan Village Adult & Retirement Community
",IN PROGRESS,ON,Collingwood,"89 Raglan St, Collingwood, ON L9Y 0B2",705-445-1100,https://raglanvillage.com/,,,,,,,
"
Chartwell Valley Vista Retirement Residence",ACTIVE,ON,Maple,"600 Valley Vista Dr, Maple, ON L6A 4H2",289-963-9974,https://chartwell.com/on/vaughan/valley-vista,Ellen Zhu ,ezhu@chartwell.com,,Health and Wellness Manager,,,
Barrie Manor Enhanced Care Community,ACTIVE,ON,Barrie,"340 Blake St, Barrie, ON L4M 1L3",705 722 3611,https://www.barriemanor.ca/,Deborah Kennedy,assistantwellness@barriemanor.ca,,,,,
Hospice Niagara,NOT ACCEPTING,ON,St. Catharines,"403 Ontario St #2, St. Catharines, ON L2N 1L5",905-984-8766,https://www.hospiceniagara.ca/,Kathryn Brady,kbrady@hospiceniagara.ca,905-984-8766 ext 235, HR Generalist,,,
Wellbrook Place,ACTIVE,ON,Mississauga,"2180 Speakman Dr, Mississauga, ON L5K 0B1","905-369-2442
",https://partnerscommunityhealth.ca/wellbrook-place/,Marie Jawardena,marie.jayawardena@partnerscommunityhealth.ca,,,,,
AgeCare Glen Oaks,IN PROGRESS,ON,Oakville,"2140 Baronwood Dr, Oakville, ON L6M 4S4",905-827-2405,https://www.agecare.ca/communities/glen-oaks/,Pria Sihu / Jennifer Castaneda," priya.sidhu@AgeCare.ca / Jennifer.Castaneda@AgeCare.ca
",905-827-2405 ext. 503,Student Placement Coordinator / Director of Care,,,
The O'Neill Centre Long Term Care,INACTIVE,ON,Toronto,"33 Christie St, Toronto, ON M6G 3B1",416-536-1116,https://oneillcentre.ca/,Canisha Bethel ,cbethel@oneillcentre.ca,416-536-1116 ext 3237,Director of Care,,,
Seasons Retirement Community in Stoney Creek,NOT ACCEPTING,ON,Stoney Creek,"8 Shoreview Pl, Stoney Creek, ON L8E 6G4",905-662-4442,https://seasonsretirement.com/locations/stoney-creek/,"Jessica DeMarchi
",jdemarchi@seasonsretirement.com,,Employee Services Administrator,,,informed by head office Feb 24
Seasons Milton,ACTIVE,ON,Milton,"760 Bronte St. S, Milton, ON L9T 8X4",905-864-6888,https://seasonsretirement.com/locations/milton/,Lila Lumsden,llumsden@seasonsretirement.com,,,,,
DePaul Hall,IN PROGRESS,NS,Halifax,"215 Seton Road, Halifax, Nova Scotia B3M 0C9",902-406-8100,shannex.com/location/depaul-hall/,Gillian Hoyt-Hallett,care@shannex.com,902-406-8100,"Senior Director of Operations, Enhanced Care",,,
Aspira Royale Place Retirement Living,NOT ACCEPTING,ON,Kingston,"2485 Princess Street, Kingston, ON K7M 3G6",613-634-5900,aspiraroyaleplaceretirement.com,Brenda Boudreau,brenda.boudreau@siennaliving.ca,613-634-5900,General Manager,,,
Extendicare Arbour Heights,IN PROGRESS,ON,Kingston,"564 Tanner Drive, Kingston, ON K7M 0C3",613-544-1155,extendicarearbourheights.com,Christine Sellery,CNH_ArbourHeights@extendicare.com,613-544-1155,Executive Director,,,
Helen Henderson Care Centre,IN PROGRESS,ON,Amherstview,"343 Amherst Dr, Amherstview, ON K7N 1X3",613-384-4585,https://www.gibsonfamilyhealthcare.com/helen-henderson-care-centre,Angela Gibson,angelagibson@gibsonfamilyhealthcare.com,613-384-4585 ext 236,Assistant Administrator,,,
Rideaucrest Home,IN PROGRESS,ON,Kingston,"175 Rideau St, Kingston, ON K7K 7B1",613-530-2818 ,https://www.cityofkingston.ca/community-supports/rideaucrest-long-term-care-home/,Brian Gutoskie / Carleen Lepine,bgutoskie@CityofKingston.ca / clepine@cityofkingston.ca,613-530-2818 ext 4227,Director of Care,,,
Georgian Village And Manor,IN PROGRESS,ON,Penetanguishene,"101 Thompsons Rd, Penetanguishene, ON L9M 0V3",(705) 549-3166,georgianvillage.ca,Sherry Bell,georgianvillage.questions@simcoe.ca,(705) 549-3166,Not Provided,,,
Coleman Care Centre,IN PROGRESS,ON,Barrie,"140 Cundles Rd W, Barrie, ON L4N 9X8",705-726-8691,schlegelvillages.com,Michelle Uprichard,michelle.uprichard@schlegelvillages.com,705-726-8691,General Manager,,,
Bayshore Home Care Solutions (Barrie),IN PROGRESS,ON,Barrie,"65 Cedar Pointe Dr E, Unit 809A, Barrie, ON L4N 5R7",705-986-0127,bayshore.ca,Jenny Krajewski,jkrajewski@bayshore.ca,705-986-0127 ext 34503,Area Director,,,
Mill Creek Care Centre,IN PROGRESS,ON,Barrie,"286 Hurst Dr, Barrie, ON L4N 0Z3",705-719-6222,millcreekcarecentre.ca,Chad Axelrod,caxelrod@millcreekcarecentre.ca,705-719-6222 ext 5222,Executive Director,,,
Extendicare Mississauga,IN PROGRESS,ON,Mississauga,"855 John Watt Blvd, Mississauga, ON L5W 1G2",905-696-0719,http://www.extendicaremississauga.com/,Jesselyn Carvajal, jecarvajal@extendicare.com, 905-696-2243,Director of Care,,,
Extendicare Brampton,NOT ACCEPTING,ON,Brampton,"7891 McLaughlin Rd S Brampton, ON L6Y 5H8",905-459-4904,http://www.extendicarebrampton.com/,Manika Vivek,mvivek@extendicare.com,905-456-4201,Director of Care,,,Emailed Mar 9
"Extendicare Holyrood
",IN PROGRESS,AB,Edmonton,"8008 95 Ave NW, Edmonton, AB T6C 2T1",780-469-1307,http://www.extendicareholyrood.com/,Chris Raj,,,Director of Care,,,
"Extendicare Columbia Forest
",IN PROGRESS,ON,Waterloo,"650 Mountain Maple Ave, Waterloo, ON N2V 2P7",519-884-4480,http://www.extendicarecolumbiaforest.com/,Yianna Ioannou,yianna.ioannou@extendicare.com,,Director of Care,,,
Extendicare Scarborough,IN PROGRESS,ON,Scarborough,"3830 Lawrence Ave E Scarborough, ON M1G 1R6
",416-439-1243 ,http://www.extendicarescarborough.com/,Rui ,lzheng@extendicare.com ,416-439-1243 ext 239 ,Office Manager,,,
Westside LTC,IN PROGRESS,ON,Etobicoke,"1145 Albion Rd, Etobicoke, ON M9V 4J7",416-745-4800,http://www.westsideltc.com/, Harinder Kaur,harinder.kaur@exeassist.ca,,,,,
"Extendicare Rouge Valley
",ACTIVE,ON,Scarborough,"551 Conlins Rd, Scarborough, ON M1B 5S1",416-282-6768  ,http://www.extendicarerougevalley.com/,Latha Puthuparampil,"LMathewPuthuparampil@extendicare.com
",,,,,
Heron Terrace,NOT ACCEPTING,ON,Windsor,"11550 McNorton St, Windsor, ON N8P 1T9",519-979-6730,http://ltc.srgroup.ca/heron_terrace_windsor.htm,Grelida Nurja ,Grelida_Nurja@srgroup.ca,,Manager Resident Care,,,
Regency Park Long Term Care Home ,IN PROGRESS,ON,Windsor,"567 Victoria Ave Windsor, ON N9A 4N1",519-254-1141   ,https://regencyparkltc.ca/,"Emil Alias  
",emil.alias@regencyparkltc.ca,519-254-1141  x 241,Director of Care,,,
Shepherd Village,IN PROGRESS,ON,Scarborough,"3760 Sheppard Avenue East, Scarborough, ON M1T 3K9",416-609-5700  ,https://shepherdvillage.org/,Shantal Anderson ,sanderson@shepherdvillage.org,"416-609-5700 ext 244
",Director of Care,,,
"Extendicare Eaux Claires
",ACTIVE,AB,Edmonton,"16503 95 St, Edmonton, AB T5Z 0G7",780-472-1106,http://www.extendicareeauxclaires.com/,Greta Dsouza ,g.dsouza@extendicare.com,,Director of Care,,,
